
[T2][66/100] Loss=8.404727122979239e-05, Acc= 0.993873745893634
[T2][67/100] Loss=8.320021152030677e-05, Acc= 0.993873745893634
[T2][68/100] Loss=8.237120346166193e-05, Acc= 0.9939625321850306
[T2][69/100] Loss=8.156033436534926e-05, Acc= 0.9939625321850306
[T2][70/100] Loss=8.076325320871547e-05, Acc= 0.9939625321850306
[T2][71/100] Loss=7.998235378181562e-05, Acc= 0.9939625321850306
[T2][72/100] Loss=7.921637734398246e-05, Acc= 0.9940513184764272
[T2][73/100] Loss=7.846392691135406e-05, Acc= 0.9940513184764272
[T2][74/100] Loss=7.772605022182688e-05, Acc= 0.9941401047678239
[T2][75/100] Loss=7.700083369854838e-05, Acc= 0.9941401047678239
[T2][76/100] Loss=7.62884083087556e-05, Acc= 0.9942288910592204
[T2][77/100] Loss=7.558899960713461e-05, Acc= 0.9944064636420137
[T2][78/100] Loss=7.490034477086738e-05, Acc= 0.9944064636420137
[T2][79/100] Loss=7.422353519359604e-05, Acc= 0.9944064636420137
[T2][80/100] Loss=7.355691923294216e-05, Acc= 0.9944952499334103
[T2][81/100] Loss=7.290104986168444e-05, Acc= 0.9945840362248068
[T2][82/100] Loss=7.225586159620434e-05, Acc= 0.9945840362248068
[T2][83/100] Loss=7.161914982134476e-05, Acc= 0.9945840362248068
[T2][84/100] Loss=7.099115464370698e-05, Acc= 0.9945840362248068
[T2][85/100] Loss=7.037401519482955e-05, Acc= 0.9948503950989968
[T2][86/100] Loss=6.976580334594473e-05, Acc= 0.9949391813903933
[T2][87/100] Loss=6.916662096045911e-05, Acc= 0.9949391813903933
[T2][88/100] Loss=6.857632251922041e-05, Acc= 0.9949391813903933
[T2][89/100] Loss=6.799421680625528e-05, Acc= 0.9949391813903933
[T2][90/100] Loss=6.742180994478986e-05, Acc= 0.9950279676817899
[T2][91/100] Loss=6.685729022137821e-05, Acc= 0.9951167539731866
[T2][92/100] Loss=6.630050484091043e-05, Acc= 0.9952055402645832
[T2][93/100] Loss=6.574975122930482e-05, Acc= 0.9952055402645832
[T2][94/100] Loss=6.520805618492886e-05, Acc= 0.9952943265559797
[T2][95/100] Loss=6.467118510045111e-05, Acc= 0.9952943265559797
[T2][96/100] Loss=6.414292874978855e-05, Acc= 0.9953831128473764
[T2][97/100] Loss=6.362118438119069e-05, Acc= 0.995471899138773
[T2][98/100] Loss=6.310582102742046e-05, Acc= 0.9955606854301696
[T2][99/100] Loss=6.259703513933346e-05, Acc= 0.9955606854301696
[T2][100/100] Loss=6.209433195181191e-05, Acc= 0.9955606854301696

[T3][1/100] Loss=0.002521045273169875, Acc= 0.6275137486661742
[T3][2/100] Loss=0.0014921288238838315, Acc= 0.9074940490847903
[T3][3/100] Loss=0.0006659911596216261, Acc= 0.9902322908971518
[T3][4/100] Loss=0.00042341439984738827, Acc= 0.9922022490355413
[T3][5/100] Loss=0.00031006557401269674, Acc= 0.9936797176393335
[T3][6/100] Loss=0.00024489444331265986, Acc= 0.9943363703521301
[T3][7/100] Loss=0.0002028179878834635, Acc= 0.9948288598867274
[T3][8/100] Loss=0.00017350792768411338, Acc= 0.9951571862431257
[T3][9/100] Loss=0.00015198005712591112, Acc= 0.9954855125995239
[T3][10/100] Loss=0.00013552447489928454, Acc= 0.9958959205450217
[T3][11/100] Loss=0.00012254413741175085, Acc= 0.9960600837232209
[T3][12/100] Loss=0.00011204890324734151, Acc= 0.9964704916687187
[T3][13/100] Loss=0.0001033964435919188, Acc= 0.9966346548469178
[T3][14/100] Loss=9.614437294658273e-05, Acc= 0.9967167364360174
[T3][15/100] Loss=8.99768783710897e-05, Acc= 0.9967988180251169
[T3][16/100] Loss=8.46664552227594e-05, Acc= 0.9967988180251169
[T3][17/100] Loss=8.004448318388313e-05, Acc= 0.9969629812033161
[T3][18/100] Loss=7.598710362799466e-05, Acc= 0.9970450627924157
[T3][19/100] Loss=7.239421393023804e-05, Acc= 0.9970450627924157
[T3][20/100] Loss=6.918883445905522e-05, Acc= 0.9970450627924157
[T3][21/100] Loss=6.63098253426142e-05, Acc= 0.9972092259706148
[T3][22/100] Loss=6.371007475536317e-05, Acc= 0.9972092259706148
